long,lat,species,animal
-115.177437,49.423933,Ursus arctos,Amelie
-115.180827,49.42339,Ursus arctos,Amelie
-115.180752,49.423325,Ursus arctos,Amelie
-115.180798,49.423458,Ursus arctos,Amelie
-115.18097,49.423247,Ursus arctos,Amelie
-115.181137,49.423155,Ursus arctos,Amelie
-115.181155,49.42341,Ursus arctos,Amelie
-115.182405,49.422248,Ursus arctos,Amelie
-115.183012,49.42537,Ursus arctos,Amelie
-115.186988,49.424853,Ursus arctos,Amelie
-115.18342,49.42903,Ursus arctos,Amelie
-115.191013,49.429177,Ursus arctos,Amelie
-115.191027,49.431703,Ursus arctos,Amelie
-115.180667,49.434828,Ursus arctos,Amelie
-115.180742,49.434787,Ursus arctos,Amelie
-115.181,49.43494,Ursus arctos,Amelie
-115.180803,49.434823,Ursus arctos,Amelie
-115.180828,49.436063,Ursus arctos,Amelie
-115.18304,49.443585,Ursus arctos,Amelie
-115.184297,49.443723,Ursus arctos,Amelie
-115.185555,49.446123,Ursus arctos,Amelie
-115.190163,49.44533,Ursus arctos,Amelie
-115.191045,49.444228,Ursus arctos,Amelie
-115.192272,49.442073,Ursus arctos,Amelie
-115.197013,49.44147,Ursus arctos,Amelie
-115.194675,49.437883,Ursus arctos,Amelie
-115.194513,49.437907,Ursus arctos,Amelie
-115.194567,49.437927,Ursus arctos,Amelie
-115.194678,49.437932,Ursus arctos,Amelie
-115.194605,49.437808,Ursus arctos,Amelie
-115.199657,49.436978,Ursus arctos,Amelie
-115.199652,49.43819,Ursus arctos,Amelie
-115.197515,49.442175,Ursus arctos,Amelie
-115.19846,49.43884,Ursus arctos,Amelie
-115.195213,49.442098,Ursus arctos,Amelie
-115.184735,49.444558,Ursus arctos,Amelie
-115.145107,49.42251,Ursus arctos,Amelie
-115.122747,49.407348,Ursus arctos,Amelie
-115.12241,49.407283,Ursus arctos,Amelie
-115.122635,49.407363,Ursus arctos,Amelie
-115.122485,49.407507,Ursus arctos,Amelie
-115.122775,49.407398,Ursus arctos,Amelie
-115.105642,49.389957,Ursus arctos,Amelie
-115.131455,49.390113,Ursus arctos,Amelie
-115.169497,49.411022,Ursus arctos,Amelie
-115.174222,49.424468,Ursus arctos,Amelie
-115.177753,49.424447,Ursus arctos,Amelie
-115.177152,49.424265,Ursus arctos,Amelie
-115.177078,49.424627,Ursus arctos,Amelie
-115.177217,49.424332,Ursus arctos,Amelie
-115.177218,49.42431,Ursus arctos,Amelie
-115.177215,49.424422,Ursus arctos,Amelie
-115.176377,49.424355,Ursus arctos,Amelie
-115.176243,49.42445,Ursus arctos,Amelie
-115.17981,49.42613,Ursus arctos,Amelie
-115.181985,49.426152,Ursus arctos,Amelie
-115.185557,49.427085,Ursus arctos,Amelie
-115.189125,49.42977,Ursus arctos,Amelie
-115.190622,49.43024,Ursus arctos,Amelie
-115.188808,49.42736,Ursus arctos,Amelie
-115.187937,49.424473,Ursus arctos,Amelie
-115.204068,49.429263,Ursus arctos,Amelie
-115.206328,49.426817,Ursus arctos,Amelie
-115.20636,49.426793,Ursus arctos,Amelie
-115.206505,49.426828,Ursus arctos,Amelie
-115.213392,49.428825,Ursus arctos,Amelie
-115.214772,49.428435,Ursus arctos,Amelie
-115.215315,49.42862,Ursus arctos,Amelie
-115.218088,49.431172,Ursus arctos,Amelie
-115.21809,49.432288,Ursus arctos,Amelie
